LONGITUDE,LATITUDE,TIMESTAMP,NO
-1.7196,113.8823,19072015,166
-1.6078,113.589,19072015,167
-1.6101,113.5031,19072015,168
-1.8708,113.5159,19072015,169
-1.8618,113.5171,19072015,170
-1.9386,113.6703,20072015,171
-1.9418,113.5674,20072015,172
-1.9457,113.5777,20072015,173
-2.0899,113.7484,21072015,174
-2.0912,113.7417,21072015,175
-1.6255,113.5429,21072015,176
-2.1018,113.7001,22072015,177
-2.1033,113.6897,22072015,178
-2.0539,113.9644,22072015,179
-2.0846,113.7512,22072015,180
-2.0454,113.9722,22072015,181
-2.0439,113.979,22072015,182
-1.627,113.5437,23072015,183
-1.513,113.85,23072015,184
-2.3146,114.1013,23072015,185
-1.9223,113.6585,24072015,186
-1.9141,113.6637,24072015,187
-1.9108,113.6644,24072015,188
-2.1257,113.7783,26072015,189
-2.3124,114.1088,26072015,190
-2.2165,113.7854,26072015,191
-1.6123,113.4855,26072015,192
-1.6013,113.4767,26072015,193
-1.6028,113.4868,26072015,194
-1.6109,113.4753,26072015,195
-1.6229,113.4668,27072015,196
-2.0582,113.9624,28072015,197
-2.0606,113.9561,28072015,198
-2.2048,113.8555,30072015,199
-2.2089,113.826,30072015,200
-1.9187,113.6556,30072015,201
-1.6196,113.5786,30072015,202
-2.368,114.1542,31072015,203
-2.2265,113.7915,31072015,204
-2.3218,114.1125,2082015,205
-2.3208,114.1062,4082015,206
-1.6252,113.5405,4082015,207
-2.3211,114.1061,4082015,208
-2.2371,114.122,4082015,209
-1.6799,113.3214,4082015,210
-2.3146,114.1153,4082015,211
-2.3132,114.1058,4082015,212
-2.2325,114.1229,4082015,213
-1.6742,113.3256,4082015,214
-1.6224,113.5411,4082015,215
-1.6809,113.3326,5082015,216
-1.6784,113.3276,5082015,217
-1.6882,113.3203,5082015,218
-2.3107,114.088,5082015,219
-2.3135,114.0954,5082015,220
-2.3126,114.0973,6082015,221
-2.2371,114.1298,6082015,222
-2.2355,114.1276,7082015,223
-1.8838,113.9511,7082015,224
-1.9159,113.5095,7082015,225
