LATITUDE,LONGITUDE,TIMESTAMP
-1.8518,111.3227,08/08/2015
-1.8499,111.3161,08/08/2015
-1.9184,111.4397,09/08/2015
-2.0072,111.6039,09/08/2015
-2.0085,111.6129,09/08/2015
-2.0175,111.6116,09/08/2015
-2.0498,111.6437,09/08/2015
-2.0512,111.6527,09/08/2015
-1.8537,111.3226,09/08/2015
-1.5769,110.7487,09/08/2015
-1.5752,110.7607,09/08/2015
-2.0999,111.1689,09/08/2015
-2.0552,111.4139,09/08/2015
-2.0567,111.4029,09/08/2015
-2.0899,111.1673,09/08/2015
-2.0177,111.6087,09/08/2015
-2.0193,111.5979,09/08/2015
-2.0453,111.4125,09/08/2015
-2.0468,111.4015,09/08/2015
-2.008,111.6072,09/08/2015
-1.9814,111.6414,09/08/2015
-1.9305,111.4355,09/08/2015
-1.9281,111.4399,09/08/2015
-1.0772,111.4738,10/08/2015
-1.0772,111.4662,10/08/2015
-1.917,111.7405,10/08/2015
-2.4484,111.2629,11/08/2015
-2.4484,111.2561,11/08/2015
-1.8774,111.0425,11/08/2015
-1.1348,111.3849,11/08/2015
-1.0511,111.4441,11/08/2015
-1.0458,111.4565,11/08/2015
-1.9575,111.5363,11/08/2015
-1.9561,111.5463,11/08/2015
-1.9655,111.5476,11/08/2015
-1.9566,111.5453,11/08/2015
-1.9579,111.5542,11/08/2015
-1.9669,111.553,11/08/2015
-1.5254,111.5521,12/08/2015
-1.1304,111.4209,12/08/2015
-1.1325,111.4317,12/08/2015
-1.9239,111.7347,13/08/2015
-1.1107,111.485,14/08/2015
-2.4592,111.4108,14/08/2015
-1.971,111.5469,14/08/2015
-1.9976,111.0331,14/08/2015
-1.9938,110.9943,14/08/2015
-1.9952,110.985,14/08/2015
-1.8638,111.5147,14/08/2015
-1.8625,111.3264,14/08/2015
-1.8042,111.5603,14/08/2015
-1.8056,111.5505,14/08/2015
-1.7677,111.4154,14/08/2015
-1.6549,111.4223,14/08/2015
-1.6564,111.4126,14/08/2015
-1.6251,111.392,14/08/2015
-1.6265,111.3824,14/08/2015
-1.6158,111.3907,14/08/2015
-1.6171,111.381,14/08/2015
-1.5808,110.922,14/08/2015
-1.5821,110.9127,14/08/2015
-1.2968,111.1137,14/08/2015
-1.1788,111.4261,14/08/2015
-1.1037,111.4152,14/08/2015
-1.9695,111.5399,15/08/2015
-1.9651,111.543,16/08/2015
-1.9665,111.5529,16/08/2015
-2.0074,111.7007,16/08/2015
-2.0169,111.6994,16/08/2015
-2.0184,111.7095,16/08/2015
-2.0672,111.9756,16/08/2015
-2.2645,111.4263,16/08/2015
-2.1639,111.5483,16/08/2015
-2.1653,111.539,16/08/2015
-2.1489,111.0778,16/08/2015
-2.0411,111.6383,16/08/2015
-2.0996,111.159,16/08/2015
-2.0138,111.7001,16/08/2015
-1.9708,111.5463,16/08/2015
-1.9605,111.488,16/08/2015
-1.9046,111.3026,16/08/2015
-1.8901,111.3389,16/08/2015
-1.9024,111.1185,16/08/2015
-1.8302,111.4382,16/08/2015
-1.9008,110.9448,16/08/2015
-1.7973,111.5377,16/08/2015
-1.7986,111.5284,16/08/2015
-1.7882,111.5364,16/08/2015
-1.8133,111.3596,16/08/2015
-1.7687,111.543,16/08/2015
-1.77,111.5338,16/08/2015
-1.7531,111.5219,16/08/2015
-1.7623,111.4039,16/08/2015
-1.7636,111.3946,16/08/2015
-1.7531,111.4026,16/08/2015
-1.7545,111.3933,16/08/2015
-1.7714,111.0779,16/08/2015
-1.7515,111.0848,16/08/2015
-1.7681,110.9006,16/08/2015
-1.7695,110.8909,16/08/2015
-1.6698,111.4032,16/08/2015
-1.7376,110.7999,16/08/2015
-1.739,110.7902,16/08/2015
-1.6163,111.3861,16/08/2015
-1.6433,111.0628,16/08/2015
-1.6327,111.0711,16/08/2015
-1.634,111.0615,16/08/2015
-1.6271,111.0647,16/08/2015
-1.6284,111.0552,16/08/2015
-1.5011,111.1661,16/08/2015
-1.1711,111.4153,16/08/2015
-1.153,111.3467,16/08/2015
-1.1439,111.3454,16/08/2015
-1.1452,111.3362,16/08/2015
-1.1165,111.4734,16/08/2015
-1.1151,111.4199,16/08/2015
-1.1164,111.4106,16/08/2015
-1.8966,110.9564,17/08/2015
-1.1667,111.4301,18/08/2015
-2.441,111.264,18/08/2015
-2.4772,111.6904,18/08/2015
-2.4482,111.2568,18/08/2015
-2.4475,111.2662,18/08/2015
-2.2141,111.4538,18/08/2015
-1.9723,111.5481,18/08/2015
-1.9742,111.5345,18/08/2015
-1.9174,111.5198,18/08/2015
-1.9065,111.5182,18/08/2015
-1.9351,111.2369,18/08/2015
-1.8585,111.622,18/08/2015
-1.8604,111.6085,18/08/2015
-1.8609,111.5257,18/08/2015
-1.8627,111.512,18/08/2015
-1.8595,111.5202,18/08/2015
-1.8615,111.5066,18/08/2015
-1.8279,111.585,18/08/2015
-1.913,110.9134,18/08/2015
-1.9152,110.8984,18/08/2015
-1.8334,111.3902,18/08/2015
-1.7984,111.3994,18/08/2015
-1.8062,111.3438,18/08/2015
-1.7664,111.5487,18/08/2015
-1.7683,111.5352,18/08/2015
-1.7574,111.5337,18/08/2015
-1.762,111.5552,18/08/2015
-1.764,111.5417,18/08/2015
-1.7531,111.5402,18/08/2015
-1.7498,111.3295,18/08/2015
-1.7367,111.342,18/08/2015
-1.6975,111.2158,18/08/2015
-1.6996,111.2013,18/08/2015
-1.6563,111.4237,18/08/2015
-1.6583,111.4101,18/08/2015
-1.6864,111.2141,18/08/2015
-1.6885,111.1995,18/08/2015
-1.6474,111.0027,18/08/2015
-1.6465,111.0101,18/08/2015
-1.5566,111.3184,18/08/2015
-1.5585,111.3048,18/08/2015
-1.5153,111.2068,18/08/2015
-1.5173,111.1926,18/08/2015
-1.2794,111.9773,18/08/2015
-1.2811,111.9649,18/08/2015
-1.0281,111.4721,18/08/2015
-1.0301,111.4587,18/08/2015
-1.0174,111.4701,18/08/2015
-1.0193,111.4569,18/08/2015
-1.9601,111.544,18/08/2015
-1.9705,111.5456,18/08/2015
-2.0137,111.3214,18/08/2015
-2.0119,111.3333,18/08/2015
-2.4313,111.6809,18/08/2015
-1.959,111.5473,18/08/2015
-2.0097,111.3253,18/08/2015
-2.0112,111.335,18/08/2015
-1.819,111.3703,19/08/2015
-1.822,111.3508,19/08/2015
-1.8825,110.955,19/08/2015
-1.8197,111.3628,19/08/2015
-1.8801,110.9472,19/08/2015
-1.8068,111.3609,19/08/2015
-1.698,111.0461,19/08/2015
-1.6854,111.0446,19/08/2015
-1.6937,111.0575,19/08/2015
-1.6965,111.0384,19/08/2015
-1.6378,111.0875,19/08/2015
-1.6405,111.0688,19/08/2015
-1.621,111.0272,19/08/2015
-1.6238,111.0082,19/08/2015
-1.6212,111.0218,19/08/2015
-1.5202,111.1814,19/08/2015
-2.0293,111.9972,19/08/2015
-2.0323,112.0023,19/08/2015
-2.2356,111.4728,20/08/2015
-2.2679,111.5161,20/08/2015
-2.3385,111.6921,20/08/2015
-2.3404,111.7049,20/08/2015
-1.7429,111.0948,20/08/2015
-1.7418,111.0882,20/08/2015
-2.2653,111.5131,20/08/2015
-2.2438,111.4607,20/08/2015
-2.2362,111.477,20/08/2015
-2.2397,111.4527,20/08/2015
-2.1006,111.1764,20/08/2015
-2.0983,111.1688,20/08/2015
-2.0023,111.4326,20/08/2015
-1.9714,111.5503,20/08/2015
-1.905,111.6795,20/08/2015
-1.9083,111.6564,20/08/2015
-1.8942,111.6557,20/08/2015
-1.9145,111.5134,20/08/2015
-1.8529,111.3009,20/08/2015
-1.8563,111.2766,20/08/2015
-1.9074,110.9177,20/08/2015
-1.8013,111.5632,20/08/2015
-1.8046,111.5397,20/08/2015
-1.7774,111.6321,20/08/2015
-1.8141,111.3702,20/08/2015
